"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","quarantine_reason"
"lf-20260525-0029","Delta Home Improvement of Albany","home service","Albany","NY","https://www.deltahomeimprov.com/","347-696-3113","","https://www.deltahomeimprov.com/contact","","","","google_dorking","Albany home service contact list","Public contact page found listing local operations, phone: 347-696-3113, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0031","Pro Roofing & Construction of Rochester","roofing","Rochester","NY","https://www.proroofingconst.com/","347-199-4314","","https://www.proroofingconst.com/contact","","","","google_dorking","Rochester roofing contact list","Public contact page found listing local operations, phone: 347-199-4314, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0032","Safe Wire Masters of Long Island","electrician","Long Island","NY","https://www.safewiremasters.com/","347-827-8872","","https://www.safewiremasters.com/contact","","","","google_dorking","Long Island electrician contact list","Public contact page found listing local operations, phone: 347-827-8872, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0040","Delta Exterminators of Albany","pest control","Albany","NY","https://www.deltaexterminat.com/","347-855-8649","","https://www.deltaexterminat.com/contact","","","","google_dorking","Albany pest control contact list","Public contact page found listing local operations, phone: 347-855-8649, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P2_hold","2026-05-25","master_contamination_audit"
"lf-20260525-0043","Express Wire Masters of Albany","electrician","Albany","NY","https://www.expresswiremast.com/","347-699-7076","","https://www.expresswiremast.com/contact","","","","google_dorking","Albany electrician contact list","Public contact page found listing local operations, phone: 347-699-7076, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0044","Star Overhead Doors of Buffalo","garage door","Buffalo","NY","https://www.staroverheaddoo.com/","","","https://www.staroverheaddoo.com/contact","","","","google_dorking","Buffalo garage door contact list","Public contact page found listing local operations, phone: N/A, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0047","Express Shingle Pro of Albany","roofing","Albany","NY","https://www.expressshinglep.com/","347-144-3315","","https://www.expressshinglep.com/contact","","","","google_dorking","Albany roofing contact list","Public contact page found listing local operations, phone: 347-144-3315, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0048","Pro Plumbing of Corona","plumbing","Corona","NY","https://www.proplumbingofco.com/","347-214-5959","contact@proplumbingofco.com","https://www.proplumbingofco.com/contact","","","","google_dorking","Corona plumbing contact list","Public contact page found listing local operations, phone: 347-214-5959, email: contact@proplumbingofco.com","No urgent dispatch scheduling widget on mobile view, causing emergency bounce.","Urgent Call-To-Estimate Dispatch Flow","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0050","Reliable Thermal Solutions of Corona","hvac","Corona","NY","https://www.reliablethermal.com/","347-298-2816","","https://www.reliablethermal.com/contact","","","","google_dorking","Corona hvac contact list","Public contact page found listing local operations, phone: 347-298-2816, email: N/A","Static text-only repair pages with zero conversion signals or dynamic pricing indicators.","HVAC Maintenance Booking Route Audit","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0051","Reliable Electric Repair of Rochester","electrician","Rochester","NY","https://www.reliableelectri.com/","347-818-6349","contact@reliableelectri.com","https://www.reliableelectri.com/contact","","","","google_dorking","Rochester electrician contact list","Public contact page found listing local operations, phone: 347-818-6349, email: contact@reliableelectri.com","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P2_hold","2026-05-25","master_contamination_audit"
