"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","quarantine_reason"
"LF-0021","Wellness Evolve Family Chiro","chiropractor","Tampa","FL","https://www.wellnessevolvechiro.com/","813-555-0188","info@wellnessevolvechiro.com","https://www.wellnessevolvechiro.com/contact","","","","google_dorking","Tampa chiropractor family care","Active website with basic contact form.","Manual confirmation of appointments creates delay.","Auto-scheduler intake bridge","2","validated_public_business_source","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"LF-0023","Z Roofing Miami","roofing","Miami","FL","https://www.zroofingmiami.com/","305-555-0177","info@zroofingmiami.com","https://www.zroofingmiami.com/contact","","","","google_dorking","Miami roofer quotes","Website with active phone and email.","No direct quote calculator on page.","Interactive estimate calculator setup","2","validated_public_business_source","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"LF-0024","Clean Space Miami","home service","Miami","FL","https://www.cleanspacemiami.com/","305-555-0112","info@cleanspacemiami.com","https://www.cleanspacemiami.com/book","","","","google_dorking","Miami house cleaning book online","Online booking page active.","Calendar widget loads slowly, causing exit drift.","Static booking engine upgrade","1","validated_public_business_source","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0025","Delta Plumbers of St. Petersburg","plumbing","St. Petersburg","FL","https://www.deltaplumbersof.com/","813-518-4077","","https://www.deltaplumbersof.com/contact","","","","google_dorking","St. Petersburg plumbing contact list","Public contact page found listing local operations, phone: 813-518-4077, email: N/A","No urgent dispatch scheduling widget on mobile view, causing emergency bounce.","Urgent Call-To-Estimate Dispatch Flow","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0027","Precision Roofing & Construction of Orlando","roofing","Orlando","FL","https://www.precisionroofin.com/","813-747-4637","","https://www.precisionroofin.com/contact","","","","google_dorking","Orlando roofing contact list","Public contact page found listing local operations, phone: 813-747-4637, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P2_hold","2026-05-25","master_contamination_audit"
"lf-20260525-0028","Premier Roofs of Miami Lakes","roofing","Miami Lakes","FL","https://www.premierroofsofm.com/","813-769-3996","","https://www.premierroofsofm.com/contact","","","","google_dorking","Miami Lakes roofing contact list","Public contact page found listing local operations, phone: 813-769-3996, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0030","Metro Recovery Pros of Miami","restoration","Miami","FL","https://www.metrorecoverypr.com/","813-127-6711","","https://www.metrorecoverypr.com/contact","","","","google_dorking","Miami restoration contact list","Public contact page found listing local operations, phone: 813-127-6711, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0039","Safe Roofing & Construction of Miami","roofing","Miami","FL","https://www.saferoofingcons.com/","813-536-6986","contact@saferoofingcons.com","https://www.saferoofingcons.com/contact","","","","google_dorking","Miami roofing contact list","Public contact page found listing local operations, phone: 813-536-6986, email: contact@saferoofingcons.com","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0041","Quick Shingle Pro of Jacksonville","roofing","Jacksonville","FL","https://www.quickshinglepro.com/","813-880-7046","contact@quickshinglepro.com","https://www.quickshinglepro.com/contact","","","","google_dorking","Jacksonville roofing contact list","Public contact page found listing local operations, phone: 813-880-7046, email: contact@quickshinglepro.com","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0042","Pro Roofing of Riverview","roofing","Riverview","FL","https://www.proroofingofriv.com/","813-645-7361","","https://www.proroofingofriv.com/contact","","","","google_dorking","Riverview roofing contact list","Public contact page found listing local operations, phone: 813-645-7361, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","3","contact_path_present","P3_low_quality_or_needs_source","2026-05-25","master_contamination_audit"
