"lead_id","business_name","niche","city","state","website","public_phone","public_email","validation_status","priority_tier","suspicion_flags"
"lf-20260525-0037","First Choice Roofs of Hialeah","roofing","Hialeah","FL","https://www.firstchoiceroof.com/","813-797-2017","","contact_path_present","P0_offer_ready_review","tampa_area_code_outside_tampa_cluster"
"lf-20260525-0059","Express Fix-it Crew of West Palm Beach","home service","West Palm Beach","FL","https://www.expressfixitcre.com/","","","contact_path_present","P0_offer_ready_review","website_host_does_not_resolve"
"lf-20260525-0065","United Roofing Systems of Hialeah","roofing","Hialeah","FL","https://www.unitedroofingsy.com/","813-132-5798","","contact_path_present","P0_offer_ready_review","website_host_does_not_resolve;tampa_area_code_outside_tampa_cluster"
"lf-20260525-0067","First Choice Home Services of Jacksonville","home service","Jacksonville","FL","https://www.firstchoicehome.com/","813-808-5457","","contact_path_present","P0_offer_ready_review","tampa_area_code_outside_tampa_cluster"
"lf-20260525-0069","Precision Climate Control of Hialeah","hvac","Hialeah","FL","https://www.precisionclimat.com/","","","contact_path_present","P3_low_quality_or_needs_source","website_host_does_not_resolve"
"lf-20260525-0098","Precision Pest Solutions of Jacksonville","pest control","Jacksonville","FL","https://www.precisionpestso.com/","813-177-7076","","contact_path_present","P0_offer_ready_review","website_host_does_not_resolve;tampa_area_code_outside_tampa_cluster"
"lf-20260525-0110","Delta Home Improvement of Riverview","home service","Riverview","FL","https://www.deltahomeimprov.com/","813-445-3851","","contact_path_present","P2_hold","website_host_does_not_resolve"
"lf-20260525-0115","Delta Home Services of St. Petersburg","home service","St. Petersburg","FL","https://www.deltahomeservic.com/","813-562-6905","contact@deltahomeservic.com","contact_path_present","P0_offer_ready_review","website_host_does_not_resolve"
"lf-20260525-0128","Metro Roofing & Construction of Tampa","roofing","Tampa","FL","https://www.metroroofingcon.com/","813-492-3169","","contact_path_present","P3_low_quality_or_needs_source","website_host_does_not_resolve"
"lf-20260525-0132","United Handyman Pros of Gainesville","home service","Gainesville","FL","https://www.unitedhandymanp.com/","813-656-3720","","contact_path_present","P0_offer_ready_review","website_host_does_not_resolve;tampa_area_code_outside_tampa_cluster"
