"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","triage_reason","lead_type","public_research_note","recommended_action","business_address","registration_source","registration_status","registration_notes"
"LFR-20260614-0001","Cyclone Heating & Air","hvac","Dallas","TX","","+1-469-358-9617","","","","","","overpass_public_business_record","Dallas TX hvac public business listing","Public business record listed a phone number.","Public business listing is present, but no website was surfaced for a clear conversion path.","Website launch and hvac intake cleanup","4","partial_public_business_source","P1_manual_enrichment","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","hvac local service candidate in Dallas, TX","hvac local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0002","Texaire","hvac","Dallas","TX","https://texaire.com","+1-469-213-7730","info@texaire.com","https://texaire.com/contact-us/","","","","overpass_public_business_record","Dallas TX hvac public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email info@texaire.com. Website exposed a contact path at https://texaire.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Hvac primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","hvac local service candidate in Dallas, TX","hvac local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email info@texaire.com. Website exposed a contact path at https://texaire.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0003","Ellis Air Conditioning & Heating","hvac","Dallas","TX","https://www.ellisac.com","+1 972-362-1501","aaron@ellisac.com","https://www.ellisac.com/contact-us/","","","","overpass_public_business_record","Dallas TX hvac public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email aaron@ellisac.com. Website exposed a contact path at https://www.ellisac.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Hvac primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","hvac local service candidate in Dallas, TX","hvac local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email aaron@ellisac.com. Website exposed a contact path at https://www.ellisac.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0004","Peoples Choice Electric, Inc.","electrician","Houston","TX","https://peopleschoiceelectric.com","+1 832-216-5215","UsefLowe@PeoplesChoiceElectric.com","","","","","overpass_public_business_record","Houston TX electrician public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email UsefLowe@PeoplesChoiceElectric.com. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Electrician contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","electrician local service candidate in Houston, TX","electrician local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email UsefLowe@PeoplesChoiceElectric.com. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0005","Lumens Electric LLC","electrician","Houston","TX","https://lumenselectric.com/","+1 713-649-7800","service@lumenselectric.com","https://lumenselectric.com/contact-us/","","","","overpass_public_business_record","Houston TX electrician public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email service@lumenselectric.com. Website exposed a contact path at https://lumenselectric.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Electrician primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","electrician local service candidate in Houston, TX","electrician local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email service@lumenselectric.com. Website exposed a contact path at https://lumenselectric.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0006","Mr. Reliable Heating & Air","hvac","Houston","TX","https://www.callmrreliable.com/","+1-281-688-6301","info@callmrreliable.com","https://www.callmrreliable.com/contact-us/","","","","overpass_public_business_record","Houston TX hvac public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email info@callmrreliable.com. Website exposed a contact path at https://www.callmrreliable.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Hvac primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","hvac local service candidate in Houston, TX","hvac local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email info@callmrreliable.com. Website exposed a contact path at https://www.callmrreliable.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0007","OneCall Houston","hvac","Houston","TX","https://onecallhouston.com/","+1-713-880-5200","","https://scheduler.servicetitan.com/","","","","overpass_public_business_record","Houston TX hvac public business listing","Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://scheduler.servicetitan.com/. Website mentions estimate, quote, inspection, or scheduling language.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Hvac lead-capture follow-up setup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","hvac local service candidate in Houston, TX","hvac local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://scheduler.servicetitan.com/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0008","Bluebonnet Roofers","roofing","Austin","TX","https://austin.bluebonnetroofers.com/locations/austin-tx-78730/","+1-512-399-0326","","","","","","overpass_public_business_record","Austin TX roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Austin, TX","roofing local service candidate in Austin, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0009","Water Damage & Roofing of Austin","roofing","Austin","TX","https://austinroofingandwaterdamage.com/","+1-512-820-6505","","","","","","overpass_public_business_record","Austin TX roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Austin, TX","roofing local service candidate in Austin, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0010","Economy Plumbing Services, LLC","plumbing","Austin","TX","https://www.plumbersthatcare.com/","+1-512-580-7829","hello@plumbersthatcare.com","https://www.plumbersthatcare.com/contact","","","","overpass_public_business_record","Austin TX plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email hello@plumbersthatcare.com. Website exposed a contact path at https://www.plumbersthatcare.com/contact. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Plumbing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Austin, TX","plumbing local service candidate in Austin, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email hello@plumbersthatcare.com. Website exposed a contact path at https://www.plumbersthatcare.com/contact. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
