"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","triage_reason","lead_type","public_research_note","recommended_action","business_address","registration_source","registration_status","registration_notes"
"LFR-20260614-0001","Salis Roofing","roofing","Dallas","TX","https://salisroofing.com/","+1-469-677-0239","office@salisroofing.com","https://salisroofing.com/contact-us/","","","","overpass_public_business_record","Dallas TX roofing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email office@salisroofing.com. Website exposed a contact path at https://salisroofing.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Roofing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","roofing local service candidate in Dallas, TX","roofing local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email office@salisroofing.com. Website exposed a contact path at https://salisroofing.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0002","NOMI - Bathroom Remodeling Dallas Tx","plumbing","Dallas","TX","https://nomibath.com/","+1-800-371-8970","info@nomibath.com","https://nomibath.com/contact-us/","","","","overpass_public_business_record","Dallas TX plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email info@nomibath.com. Website exposed a contact path at https://nomibath.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Plumbing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Dallas, TX","plumbing local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email info@nomibath.com. Website exposed a contact path at https://nomibath.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0003","On Time Experts","plumbing","Dallas","TX","https://www.theontimeexperts.com/","","","https://www.theontimeexperts.com/contact/","","","","overpass_public_business_record","Dallas TX plumbing public business listing","Public business record listed a website. Website exposed a contact path at https://www.theontimeexperts.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Plumbing lead-capture follow-up setup","2","partial_public_business_source","P1_manual_enrichment","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Dallas, TX","plumbing local service candidate in Dallas, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a website. Website exposed a contact path at https://www.theontimeexperts.com/contact/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0004","New Image Roofing","roofing","Houston","TX","https://www.newimageroofing.net","+1 832-421-7474","","","","","","overpass_public_business_record","Houston TX roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Houston, TX","roofing local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0005","Amstill Roofing","roofing","Houston","TX","https://amstillroofing.com/houston-roofing","+1-281-612-8747","","https://amstillroofing.com/contact/","","","","overpass_public_business_record","Houston TX roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://amstillroofing.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Roofing lead-capture follow-up setup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","roofing local service candidate in Houston, TX","roofing local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://amstillroofing.com/contact/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0006","Bob - Emergency Plumbing Services","plumbing","Houston","TX","https://www.bobemergencyplumbing.com/","+1-713-880-2556","","","","","","overpass_public_business_record","Houston TX plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Plumbing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","plumbing local service candidate in Houston, TX","plumbing local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0007","Plumbers Local 68","plumbing","Houston","TX","https://www.plu68.com/","+1 716-869-3592","bgranger@plu68.com","https://www.plu68.com/training-center/class-schedule/","","","","overpass_public_business_record","Houston TX plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email bgranger@plu68.com. Website exposed a contact path at https://www.plu68.com/training-center/class-schedule/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Plumbing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Houston, TX","plumbing local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email bgranger@plu68.com. Website exposed a contact path at https://www.plu68.com/training-center/class-schedule/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0008","Plumbers Local Union No. 68 Group Protection Plan and Benefit Office","plumbing","Houston","TX","https://plu68benefitfunds.com/","","","https://plu68benefitfunds.com/contact-us/","","","","overpass_public_business_record","Houston TX plumbing public business listing","Public business record listed a website. Website exposed a contact path at https://plu68benefitfunds.com/contact-us/.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Plumbing lead-capture follow-up setup","2","partial_public_business_source","P1_manual_enrichment","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Houston, TX","plumbing local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a website. Website exposed a contact path at https://plu68benefitfunds.com/contact-us/. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0009","Acuity Electric","electrician","Houston","TX","http://acuityelectric.com/","+1-713-695-5992","aqe@acuityelectric.com","http://acuityelectric.com/contact_us","","","","overpass_public_business_record","Houston TX electrician public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email aqe@acuityelectric.com. Website exposed a contact path at http://acuityelectric.com/contact_us. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Electrician primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","electrician local service candidate in Houston, TX","electrician local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email aqe@acuityelectric.com. Website exposed a contact path at http://acuityelectric.com/contact_us. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0010","Coalwood Electric I Limited Partnership","electrician","Houston","TX","https://coalwood.com","+1-713-683-9991","","","","","","overpass_public_business_record","Houston TX electrician public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Electrician contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","electrician local service candidate in Houston, TX","electrician local service candidate in Houston, TX held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
